------------------||App started||05.09.2020 10:18:49||-----------------terrain generation: 6;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 22;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 0;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 2;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||05.09.2020 10:19:49||-----------------terrain generation: 7;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 2;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 0;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||05.09.2020 10:21:02||-----------------terrain generation: 7;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 2;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 0;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||05.09.2020 10:22:13||-----------------terrain generation: 6;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 16;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 0;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 2;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||05.09.2020 10:23:31||-----------------terrain generation: 7;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 95;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 0;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 3;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||05.09.2020 10:29:58||-----------------terrain generation: 6;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 125;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 0;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 4;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||05.09.2020 10:30:44||-----------------terrain generation: 8;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 67;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 0;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 3;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||05.09.2020 10:41:47||-----------------terrain generation: 7;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
Marching Cubes; 82;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
Smoothing; 0;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
render: 3;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
Voxel deformation; 5550;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
Marching Cubes; 1345;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
Smoothing; 0;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
render: 5;  Terrain size (X/Y/Z); 64/64/64; voxel scale: 2
------------------||App started||05.09.2020 11:05:12||-----------------------------------||App started||05.09.2020 11:05:12||-----------------terrain generation: 32181;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||05.09.2020 11:07:24||-----------------terrain generation: 3;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 55537;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 2;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 3;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||05.09.2020 11:08:51||-----------------------------------||App started||05.09.2020 11:08:51||-----------------terrain generation: 7;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 95;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 0;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 4;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||05.09.2020 11:14:44||-----------------------------------||App started||05.09.2020 11:14:44||-----------------------------------||App started||05.09.2020 11:14:44||-----------------------------------||App started||05.09.2020 11:14:44||-----------------------------------||App started||05.09.2020 11:14:44||-----------------terrain generation: 8;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Marching Cubes; 82;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
Smoothing; 0;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
render: 4;  Terrain size (X/Y/Z); 128/64/128; voxel scale: 2
------------------||App started||05.09.2020 11:18:31||-----------------
